,,,中文翻譯,日文翻譯,捷克文翻譯,越文翻譯,越文例句,英文例句,日文例句,捷克文例句,中文翻譯
factual uses,causal uses,consequence,結果,,,kết quả,,,,,
factual uses,causal uses,impact,影響、作用,,,"tác động, ảnh hưởng",,,,,
factual uses,causal uses,payoff,結果、成果,,,kết quả,,,,,
factual uses,causal uses,sequel,後果、結局,,,hậu quả,,,,,
factual uses,causal uses,outcome,結果、後果、效果,,,kết quả,,,,,
factual uses,causal uses,effect,影響、效果,,,"tác động, ảnh hưởng",,,,,
factual uses,causal uses,upshot,結果,,,kết quả,,,,,
factual uses,causal uses,link,與、環節、連結,連結、関連性,závislost,"sự liên kết, sự liên quan, mối tương quan","... sự gia tăng nhiệt độ chuyển tiếp liên quan đến sự gia tăng cường độ liên kết giữa các cặp electron siêu dẫn và dao động nguyên tử trong chất rắn. Học thuyết BCS dự đoán mối liên kết này, nhưng các nghiên cứu chi tiết khác... cho rằng những chất siêu dẫn này tham gia vào cơ chế bắt cặp electron.","..that these increases in transition temperature have something to do with an increase in the strength of the cooperation between the superconducting election pairs and the vibrations of atoms in the solid. The BCS theory predicts this link, but other detailed studies [...]suggest that these superconductors involve a mechanism for electron pairing...",このような転移温度の上昇は、超伝導の選択ペアと固体中の原子の振動との間の協力関係の強さの増加に関係していると考えられる。BCS理論はこの関連性を予測しているが、他の詳細な研究では、これらの超伝導体には電子ペアリングのメカニズムが関与していることが示唆されている...。,"..že tato zvýšení přechodové teploty mají něco společného se zvýšením síly součinnosti mezi supravodivými  páry elektronů a vibracemi atomů v pevné látce. Teorie BCS předpovídá tuto závislost, ale další podrobné studie [...] naznačují, že tyto supravodiče zahrnují mechanismus pro párování elektronů ... ",超導電子對與固體中原子振動的合作強度增加與轉換時的溫度上升有關。BCS理論即預測了這兩者之間的連結，但也有其他更仔細的研究...表明這些超導體涉及電子配對機制...
factual uses,causal uses,connection,關係、人脈、淵源,,,sự liên kết  ,,,,,
factual uses,causal uses,punishment,處罰、懲罰,,,"trừng phạt, phạt",,,,,
factual uses,causal uses,prize,獎賞,,,"phần thưởng, giải thưởng",,,,,
factual uses,causal uses,reward,獎勵、收穫、報酬,,,phần thưởng,,,,,
factual uses,causal uses,compensation,賠償、補償,,,"đền bù, bồi thường",,,,,
factual uses,evidential uses,evidence,證據、證明,根拠、証拠,důkazy,bằng chứng,"Cùng năm đó, cục quản lý thực phẩm, được điều phối bởi ""Action and Information on Sugars"", đã cố ngăm cấm ""Mars slogan"" do không có bằng chứng khoa học cho thấy lợi ích của việc ăn sô-cô-la. Chuyên gia Jack Winkler của AIS cho biết: "" Không có bằng chứng khoa học nào cho thấy Mars có bất kì đóng góp tích cực nào cho công việc, nghỉ ngơi hay vui chơi"".","In the same year, food watchdogs, led by Action and Information on Sugars, tried to ban the Mars slogan on the basis that there was no scientific proof that chewing chocolate was of any benefit. Jack Winkler, of AIS, said: ‘There is no scientific evidence whatsoever that Mars makes any positive contribution to working, resting or playing.' ",同年、「砂糖に関する行動と情報」に代表される食品監視団体は、チョコレートを噛むことが有益であるという科学的な証拠はないという理由で、マースのスローガンを禁止しようとした。AISのジャック・ウィンクラー氏は、「マースが仕事や休息、遊びにポジティブな影響を与えるという科学的な証拠は一切ありません」と述べている。,"Ve stejném roce se organizace zodpovědné za kontrolu kvality potravin pod vedením organizace ""Action and Information on Sugars"" pokusili zakázat slogan na tyčince Mars na základě toho, že neexistuje žádný vědecký důkaz, že by žvýkání čokolády mělo jakýkoli užitek. Jack Winkler z AIS uvedl: „Neexistují vůbec žádné vědecké důkazy o tom, že by tečinky Mars měly pozitivní vliv na práci, odpočinek nebo zábavu.“  ",同年，「含糖食品行動與資訊協會」（AIS）所領導的食品監管機構試圖禁止瑪氏巧克力棒的廣告口號，由於沒有任何科學證據顯示嚼巧克力具有益處。AIS的專家傑克．溫克勒指出：「沒有任何的科學證據證明瑪氏巧克力棒能對工作、休息、玩樂產生任何正面貢獻。」
factual uses,evidential uses,proof,證據、證明,証拠、証し,důkaz,bằng chứng,"Đây có thể là bằng chứng cuối cùng cho thấy tất cả mọi người, bao gồm chúng ta, đều trở nên điên rồ.","That would be the final proof that everybody, including us, has gone nuts. ",それは、私たちを含むすべての人が気が狂ったという最終的な証拠になるだろう。,"To by byl konečný důkaz, že všichni, včetně nás, se zbláznili. ",這很可能會是最後一個證明每一個人，也包含我們，都已經瘋了的證據
factual uses,evidential uses,sign,示意、徵兆、符號,,,ký tên,,,,,
factual uses,evidential uses,indication,標示、顯示,,,"dấu hiệu, sự chỉ dẫn",,,,,
factual uses,evidential uses,reminder,提示、提醒,,,lời nhắc nhở,,,,,
factual uses,evidential uses,signal,信號、跡象,,,"dấu hiệu, tín hiệu",,,,,
factual uses,evidential uses,implication,暗示、含義、後果,,,hàm ý,,,,,
factual uses,evidential uses,finding,結果,,,"phát hiện, kết quả",,,,,
factual uses,evidential uses,demonstration,示範,,,cuộc biểu tình,,,,,
factual uses,evidential uses,symbol,標誌、象徵、符號·,,,dấu hiệu,,,,,
factual uses,evidential uses,clue,線索、跡象、提示,,,manh mối,,,,,
factual uses,evidential uses,indicator,指標,,,chỉ số,,,,,
factual uses,evidential uses,symptom,徵狀、徵兆,,,triệu chứng,,,,,
factual uses,evidential uses,manifestation,顯示、表現,,,"biểu hiện, biểu lộ",,,,,
factual uses,evidential uses,corollary,必然結果,,,"hệ quả, kết quả tất yếu",,,,,
factual uses,evidential uses,intimation,模仿,,,,,,,,
factual uses,comparative uses,difference,差異、不同、差距、不同之處,違い、差異,rozdíl,"khác nhau, khác biệt","Như các đài phát thanh với sức chứa khác nhau, Radio One sẽ luôn đáng để theo dõi. Tất nhiên, điểm khác nhau cơ bản giữa Radio One và các đài phát thanh khác ở chỗ nó là một đài phát thanh công cộng.","Like any radio station with any size of audience, Radio One will always be worth pursuing. Of course, the fundamental difference between Radio One and other radio stations is that it's a public service broadcaster. ",あらゆるラジオ局にさまざまなリスナーがいるのと同様に、ラジオワン（Radio One）は常に追いかける価値がある。もちろん、ラジオワンと他のラジオ局の根本的な違いは、公共放送局であるということである。,"Jako každá rozhlasová stanice s  určitou velikostí posluchačů, i Radio One bude vždy stát za poslech. Základní rozdíl mezi Radio One a jinými rozhlasovými stanicemi je samozřejmě v tom, že jde o veřejnoprávní vysílací společnost. ",第一廣播電台就如同其他具有一定觀眾群的電台一樣，值得仔細聆聽。當然，第一電台與其他電台最根本的不同之處在於它是一家公共廣播機構。
factual uses,comparative uses,similarity,相似,,,sự giống nhau,,,,,
factual uses,comparative uses,alternative,替代方法,,,thay thế,,,,,
factual uses,comparative uses,distinction,區別、差異、不同,,,"sự khác biệt, sự khác nhau",,,,,
factual uses,comparative uses,contrast,差別、差異、對比,,,"sự tương phản, ngược lại",,,,,
factual uses,comparative uses,analogy,類比、比擬、類推,,,sự loại suy,,,,,
factual uses,comparative uses,discrepancy,差異、不一致,,,sự khác nhau,,,,,
factual uses,comparative uses,inconsistency,矛盾,,,mâu thuẫn,,,,,
factual uses,paratitive uses,aspect,方面,,,"khía cạnh, diện mạo",,,,,
factual uses,paratitive uses,point,觀點、論點、想法、意見,,,,,,,,
factual uses,paratitive uses,essence,本質、要素,,,bản chất,,,,,
factual uses,paratitive uses,attribute,特質、特性,,,"đặc điểm, đặc tính",,,,,
factual uses,paratitive uses,characteristic,特色、特點、特徵,,,"đặc điểm, đặc tính",,,,,
factual uses,paratitive uses,distinction,區別、差異、不同,,,"sự khác biệt, sự khác nhau",,,,,
factual uses,paratitive uses,feature,特色、特徵,,,"tính năng, đặc điểm",,,,,
factual uses,paratitive uses,factor,因素、因子,要因、原因,faktorem,yếu tố,"... đơn giản là lười biếng. Ông Elliot đã thừa nhật rằng tìm người để chuyển thể quyển sách sẽ dễ dàng hơn là đặt mua một tác phẩm mới. Ngay cả khi bạn thay đổi điều đó, bạn vẫn có một phạm vi cơ sở để tuân theo. Lo ngại về rủi ro tài chính cũng là một yếu tố chính khác.",...sheer laziness. Mr Elliott acknowledges that it is 'easier to get someone to adapt a book than to commission a new piece. Even if you have to change it you still have a baseline to operate from'. Fear of taking financial risks is another major factor. ,変更する必要がある場合でも、操作するための基準がある。金銭上のリスクを冒すのはほかの主な要因である。," ... naprostá lenost. Pan Elliott uznává, že je „jednodušší přimět někoho, aby knihu pozměnil, než aby objednal novou knihu. I když to musíte změnit, stále máte základní linii, ze které můžete vycházet. “ Dalším významným faktorem je strach z možných finančních rizik. ",...純粹只是懶惰。艾利略先生坦承找人改編一本書要比委託創作一部新書容易許多。即使你必須要改變書的內容，你仍然有一個操作基準能遵循。害怕承擔財務風險是另一個主要因素。
factual uses,paratitive uses,part,部分,一部、一つ,část,phần,"Mặc dù chủ tịch của Bundesbank đã hy vọng trấn an được các nhà đầu tư, họ đã phản hồi lại bằng việc bán phá giá trái phiếu chính phủ. Thomas Mayer, nhà kinh tế học tại Goldman Sachs, một ngân hàng đầu tư Hoa Kỳ cho biết: ""Một phần của vấn đề là các nhà đầu tư đang nhầm lẫn về động cơ của các ngân hàng trung ương.","Although the Bundesbank's president had hoped to reassure investors, they responded by dumping government bonds. Part of the problem, says Thomas Mayer, an economist at Goldman Sachs, an American investment bank, is that investors are confused about the central bank's motives. ",問題の一つは投資家が中央銀行の動機に混乱していることだと、アメリカの投資銀行ゴールドマンサックスのエコノミストであるトーマスマイヤーが言う。,"Ačkoliv prezident Bundesbank doufal, že uklidní investory, ti odpověděli zbavováním se vládních dluhopisů. Podle Thomase Mayera, ekonoma americké investiční banky Goldman Sachs, je část problému v tom, že investoři jsou zmateni motivy centrální banky. 
",儘管德國聯邦銀行總裁希望能讓投資者放心，但是他們的回應卻是拋售政府債券。高盛這家美國投資銀行的經濟學家湯瑪士．梅爾表示：「問題的一部分出在投資者對中央銀行的動機感到困惑。」
factual uses,paratitive uses,basis,基礎、依據,,,"cơ sở, nền tảng",,,,,
factual uses,paratitive uses,foundation,基礎,,,"cơ sở, nền tảng",,,,,
factual uses,paratitive uses,example,例子,例,příkladem,ví dụ,"... Sô-cô-la trứng là một sáng tạo mới, bắt nguồn từ thế kỷ trước. Trước đó, trứng được luộc và trang trí, sau đó được dùng làm quà tặng, đây một ví dụ điển hình cho việc trang trí quà tặng thời kỳ trước Công nguyên.","...Chocolate eggs are fairly recent creation, dating from the last century. Before that, real eggs, boiled and decorated, used to be given as presents and this is a good example of a custom pre-dating the Christian era. ",チョコレート卵はかなり最近の発明であり、前世紀まで遡れる。それまでにゆで卵や飾り卵がプレゼントとして贈られていたが、これは紀元前の習わしのいい例である。,"... Čokoládová vajíčka jsou poměrně nedávným výtvorem a pocházejí z minulého století. Před tím se pravá vejce, vařená a zdobená, dávala jako dárek, a to je dobrý příkladem zvyku před začátkem křesťanské éry. 
",巧克力蛋其實是非常近代的產物，只能追溯到上世紀。更早之前，人民會將真的雞蛋煮熟後裝飾來作為禮物，這個例子很好地展現西元前的習俗。
factual uses,paratitive uses,exception,例外,,,,,,,,
factual uses,attitudinal uses,problem,問題,問題,problém,vấn đề,"Bên cạnh đó, nước Anh không phải là một quốc gia khô hạn như sa mạc Sahara. Nó thậm chí không bị thiếu nước. Phần lớn đất nước có trữ lượng nước nhiều hơn nhu cầu quốc gia. Vấn đề là các công ty cung cấp nước sau khi được tư nhân hóa e ngại việc di chuyển các bồn chứa nước dư thừa đến nơi thật sự cần chúng.","Besides, Britain is not a nation as dry as the Sahara. It does not even have a shortage of water. Large part of the country have more than they will ever need. The problem is that the water companies are as loath since privatization as they were before it to transfer the reservoirs of surplus water to where they are needed. ",また、英国はサハラほど乾燥した国ではない。水も不足していない。その国の大半は、これまでに必要とする以上のものを持っている。問題は、民営化後の水道会社が、民営化前と同様に、余剰の水の貯留槽を必要な場所に移すことを嫌うことだ。,"Kromě toho území Británie není tak suché jako Sahara. Neexistuje tam ani nedostatek vody. Velká část jejího území jí má více, než kdy bude potřebovat. Problém je v tom, že vodárenské společnosti jsou od privatizace neochotné, jako byly před ní, aby přemístily přebytečné zásoby vody tam, kde je potřeba.
",此外，英國這個國家不像撒哈拉地區一樣乾燥，甚至不會缺水，英國大多地方的儲水量遠多於國民所需。問題是不論自來水公司是否已經私有化，他們都不願意將還有多餘存水的水庫轉移到需要的地方。
factual uses,attitudinal uses,thing,東西、行為、事件、想法,,,"sự vật, sự việc",,,,,
factual uses,attitudinal uses,dilemma,為難、兩難,,,khó xử,,,,,
factual uses,attitudinal uses,drawback,缺點、弱點,,,"điểm hạn chế, điểm yếu",,,,,
factual uses,attitudinal uses,catch,隱藏的問題,,,,,,,,
factual uses,attitudinal uses,difficulty,困難、問題、難題,,,khó khăn,,,,,
factual uses,attitudinal uses,disadvantage,劣勢,,,bất lợi,,,,,
factual uses,attitudinal uses,obstacle,障礙、阻礙,,,trở ngại,,,,,
factual uses,attitudinal uses,hurdle,障礙、難題,,,"rào cản, trở ngại",,,,,
factual uses,attitudinal uses,handicap,障礙、阻礙,,,"bất lợi, trở ngại",,,,,
factual uses,attitudinal uses,downside,不利,,,bất lợi,,,,,
factual uses,attitudinal uses,complication,複雜,,,sự phức tạp,,,,,
factual uses,attitudinal uses,predicament,困境、窘境,,,tình trạng khó khăn,,,,,
factual uses,attitudinal uses,crux,關鍵、核心,,,"mấu chốt, điểm then chốt",,,,,
factual uses,attitudinal uses,burden,負擔、重擔,,,gánh nặng,,,,,
factual uses,attitudinal uses,point,觀點、論點、想法、意見,,,,,,,,
factual uses,attitudinal uses,snag,麻煩、問題,厄介（なこと）、問題,Haček,"vấn đề, khó khăn, bất lợi,","Ông Rocard tiếp tục tìm cách, nhưng ông không thể thoát khỏi thực tế rằng việc tái tổ chức 'vụ nổ lớn' do ông đề xuất đối với các lực lượng không cực hữu ở Pháp là bước đi đầu tiên và quan trọng nhất trong chiến dịch tranh cử tổng thống của ông trong hai năm. Vấn đề là các cuộc thăm dò cho thấy ông Rocard đã thua ông Chirac, và hai năm có thể không đủ để ông xây dựng một cơ sở đủ mạnh để từ đó kế nhiệm Francois Mitterrand.","Mr Rocard may seek to be, he cannot escape the fact that his proposed 'big bang' realignment  of the non-right forces in France is the first and foremost designed to produce a vehicle for his presidential bid in two year’s time. This snag is that the polls show Mr Rocard as a loser against Mr Chirac, and that two years may not be long enough for him to build a sufficiently powerful base from which to succeed Francois Mitterrand. ",厄介なのは、世論調査でロカール氏がシラク氏に負けていること、そしてフランソワ・ミッテラン氏の後継者として十分な力を持つ基盤を構築するには、2年間では不十分ということである。,"Rocard se může snažit, ale nemůže uniknout skutečnosti, že jím navrhovaný „velký třesk“ přeskupení nepravicových sil ve Francii je hlavně určen pro vytvoření prostředku pro svoji prezidentskou kandidaturu za dva roky. Háček spočívá v tom, že průzkumy veřejného mínění ukazují, že Rocard prohrává s Chiracem, a že dva roky nemusí být dostatečně dlouhá doba na to, aby se vytvořila dostatečně silná základna, z níž by mohl vzejít jako nástupce Francoise Mitterranda. ",羅卡爾先生可能會成為的，但他無法逃避的事實是，他在法國非右翼勢力所提議的「大爆炸」政策反轉已成為他兩年後競選總統的第一個也是最重要的工具。民調顯示，問題在於羅卡爾先生輸給了希拉克先生，而只有兩年的時間不足以讓他建立足夠強大的基礎，以成功接替羅卡爾。 
factual uses,attitudinal uses,trouble,麻煩、煩惱,困ったこと,potíž,"vấn đề, rắc rối","Nồng độ phấn hoa trong khí quyển có thể là một mối quan tâm đáng kể đối với những người bị sốt cỏ khô, đến nỗi các số liệu về chúng thường được công bố trên các bài báo cùng với các bản tin thời tiết. Vấn đề là đây không phải là một dự báo mà chỉ ghi lại nồng độ trung bình vào ngày hôm trước, tuy nhiên nó vẫn có thể giải thích tại sao chúng ta lại cảm thấy khó chịu như vậy.","The concentration of pollen in the atmosphere may be of considerable interest to the hey fever sufferer, so much so that the figure is usually published in the newspapers along with the weather reports. The trouble is that it is not a forecast and only records the average level reached the day before, but it may explain why you felt so bad. ",大気中の花粉濃度は、花粉症患者にとっては非常に気になるもので、新聞の天気予報と一緒に掲載されるほどである。困ったことに、この数値は予報ではなく、前日までの平均値を示しているに過ぎないが、これで気分が悪くなった理由が説明できるかもしれない。,"Koncentrace pylu v atmosféře může být velmi zajímavá pro trpícího sennou horečkou, a proto  je tento údaj obvykle zveřejněn v novinách spolu se zprávami o počasí. Potíž je v tom, že nejde o předpověď a zaznamenává pouze průměrnou úroveň dosaženou den předtím, ale může vysvětlit, proč jste se cítili tak špatně. ",大氣中花粉的濃度對花粉症患者可能非常重要，而讓報紙在刊登氣象預報的同時也會報導花粉濃度數據。麻煩的是這些數據並不是預測，而只是前一天達到的平均濃度高低的紀錄。不過這依然可以解釋為什麼你會感到如此地不舒服。 
factual uses,attitudinal uses,advantage,優勢、好處、優點,利点、メリット,výhodou,thuận lợi,"... trò chơi. Chúng là một phần của trải nghiệm văn hóa loài người, đoàn kết hơn là chia rẽ chúng ta trong một nồi lẩu đa chủng tộc. Điều thuận lợi là một lượng lớn người có thể nghe được những điều khác nhau mà bạn có thể nói.","...the Games. They are an experience of part of human culture that unities rather than divides us, a melting pot of ethnic diversity. The advantage is that there is a huge audience that can hear other things you may have to say. ",それは、私たちを分断するのではなく団結させる人間の文化の一部、つまり民族の多様性のるつぼを体験するものである。他の話を聞くことができる多くの聴衆がいるという利点がある。,"...hry. Jsou zážitkem části lidské kultury, která nás spíše sjednocuje, než rozděluje, tavící kotlík etnické rozmanitosti. Výhodou je, že existuje obrovské publikum, které slyší další věci, které možná budete muset říct. 
",…這些運動會。他們是部分人類文化的經歷，讓處在多元種族大熔爐的我們團結而非分崩離析。這樣的好處是有很多聽眾能聽到你可能得說的其他事。
factual uses,attitudinal uses,blessing,祝福,,,phước lành,,,,,
factual uses,attitudinal uses,asset,優點,,,thuận lợi,,,,,
factual uses,attitudinal uses,bonus,好處、優點,,,,,,,,
factual uses,attitudinal uses,benefit,利益、福利、好處,,,,,,,,
factual uses,attitudinal uses,change,改變、變化,,,,,,,,
factual uses,attitudinal uses,irony,諷刺,皮肉（なこと）,ironií,"sự châm biếm, trớ trêu",BMW và Audi của Đức cùng phát triển hệ thống dây an toàn có thể tự động thắt chặt trong trừng hợp va chạm. Điều trớ trêu là cho đến nay vẫn chưa có nhà sản xuất ô tô nào nhận được sự khen thưởng cho việc thúc đẩy an toàn ô tô của nọ.,"Germany’s BMW and Audi have both developed seat-belt systems that tighten up automatically in the event of a crash. The irony is that, so far, all this has not paid off for those car makers most associated with promoting their vehicle’s safety. ",ドイツのBMWとアウディは、衝突時に自動的にシートベルトが締まるシステムを開発した。皮肉なことに、これまでのところ、車の安全性を最もアピールする自動車メーカーには、こうした取り組みの効果が現れなかった。,"Německé BMW a Audi vyvinuly systémy bezpečnostních pásů, které se v případě nehody automaticky napnou. Je ironií, že to vše se dosud nevyplatilo výrobcům automobilů, kteří jsou nejvíce spojováni s podporou bezpečnosti svých vozidel. ",德國的BMW和奧迪皆發展了自動化安全帶系統，能在車禍撞擊時自動束緊。但諷刺的是，到目前為止，那些與促進車輛安全最相關的汽車製造商都還沒有得到回報。
factual uses,attitudinal uses,coincidence,巧合,,,,,,,,
factual uses,attitudinal uses,accident,意外、事故,,,,,,,,
factual uses,attitudinal uses,paradox,悖論,,,,,,,,
factual uses,attitudinal uses,fault,過失、責任,,,,,,,,
factual uses,attitudinal uses,weakness,弱點、缺點、不足,,,,,,,,
factual uses,attitudinal uses,beauty,美好、好處、優勢,,,,,,,,
factual uses,attitudinal uses,uncertainty,不確定性、未知,,,,,,,,
factual uses,attitudinal uses,folly,愚蠢,,,,,,,,
factual uses,attitudinal uses,anomaly,異常、不規則,,,,,,,,
factual uses,attitudinal uses,twist,扭動、轉動,,,,,,,,
factual uses,attitudinal uses,curiosity,好奇心、求知慾,,,,,,,,
factual uses,attitudinal uses,oddity,怪事、反常,,,,,,,,
factual uses,attitudinal uses,importance,重要性,,,,,,,,
factual uses,attitudinal uses,charm,魅力、吸引力,,,,,,,,
factual uses,attitudinal uses,travesty,嘲弄,,,,,,,,
factual uses,attitudinal uses,peculiarity,古怪,,,,,,,,
factual uses,attitudinal uses,absurdity,荒謬,,,,,,,,
factual uses,attitudinal uses,paranoia,多疑,,,,,,,,
factual uses,attitudinal uses,inevitability,必然,,,,,,,,
factual uses,attitudinal uses,novelty,新鮮感、新奇,,,,,,,,
factual uses,attitudinal uses,pity,同情、憐憫、可惜,,,,,,,,
factual uses,attitudinal uses,tragedy,悲劇、悲哀,悲劇,tragédie,"bi kịch, bất hạnh",Bất hạnh của Roy Cornes là anh ấy mắc bệnh máu khó đông bẩm sinh.,Roy's Cornes’s tragedy is that he was born with hemophilia. ,ロイズ・コーネスの悲劇は、生まれつき血友病を患っていたことだ。,"Roy Cornesova tragédie spočívá v tom, že se narodil s hemofilií. ",羅伊．科恩斯的悲哀是他天生患有血友病。
factual uses,attitudinal uses,shame,可惜,,,,,,,,
factual uses,attitudinal uses,blow,不幸,,,,,,,,
factual uses,attitudinal uses,disaster,災難,,,,,,,,
factual uses,attitudinal uses,nightmare,夢靨、惡夢,,,,,,,,
factual uses,attitudinal uses,scandal,醜聞,,,,,,,,
factual uses,attitudinal uses,drama,戲劇、戲劇性效果,,,,,,,,
factual uses,attitudinal uses,miracle,奇蹟、傳奇,奇跡（なこと）,zázrak,"phép màu, điều kỳ diệu",Điều kỳ diệu là anh ấy tránh được việc tự phụ và kiêu căng.,The miracle is that it avoids being smug or snooty. ,奇跡的に（奇跡なことに）、独りよがり、或いは閉鎖的にならずに済んでいる。,"Zázrak je, že se vyhýbá samolibému nebo snobskému. ",奇蹟的是他避免了沾沾自喜或過於傲慢的行為。
factual uses,attitudinal uses,offence,罪行,,,,,,,,
factual uses,attitudinal uses,disgrace,恥辱,,,,,,,,
factual uses,attitudinal uses,misfortune,不幸,,,,,,,,
factual uses,attitudinal uses,flaw,錯誤、缺點、缺陷,,,,,,,,
factual uses,attitudinal uses,debacle,崩潰、失敗,,,,,,,,
factual uses,attitudinal uses,catastrophe,災難,,,,,,,,
factual uses,attitudinal uses,farce,鬧劇、滑稽,,,,,,,,
factual uses,attitudinal uses,nuisance,惱人,,,,,,,,
factual uses,attitudinal uses,curse,詛咒、咒罵,,,,,,,,
factual uses,attitudinal uses,wonder,疑惑、驚嘆,,,,,,,,
factual uses,attitudinal uses,luck,運氣、機會,,,,,,,,
factual uses,attitudinal uses,consolation,安慰、慰藉,,,,,,,,
factual uses,attitudinal uses,revolution,革命、變革,革命、変革,revoluce,cuộc cách mạng,"Nếu sự tiếp tục diễn ra theo hướng này thì cả tầng lớp chính trị đều bị xử trảm. Tốt. Đây là một cuộc cách mạng cần thiết, người Ý được khuyến khích nên bình tĩnh quan sát đến cùng.","If things go on this way a whole political class is liable to be decapitated. Good. This is a necessary revolution, which Italy would be well advised to see coolly through to the finish. ",このままでは、政治家全体が首を切られることになる。良いことだ。これは必要な革命であり、イタリアに最後まで冷静に見届けることを勧める。,"Pokud to půjde tímto způsobem, je možné, že bude zlikvidována celá politická třída. OK. Toto je nezbytná revoluce, kterou bychom doporučili Itálii , aby ji s klidnou hlavou prošla až do cíle. ",如果事情繼續朝這個方向發展，整個政治階層都可能直接被斬首。很好！這項革命是必須的，義大利人應該靜觀其變。
factual uses,attitudinal uses,attraction,吸引、迷戀,,,,,,,,
factual uses,attitudinal uses,breakthrough,進展、突破,,,,,,,,
factual uses,attitudinal uses,virtue,美德、品德、優點,,,,,,,,
factual uses,attitudinal uses,merit,優點、價值,,,,,,,,
factual uses,attitudinal uses,marvel,奇跡、驚奇,,,,,,,,
factual uses,attitudinal uses,solace,安慰、撫慰,,,,,,,,
factual uses,attitudinal uses,sensation,轟動、感覺,,,,,,,,
factual uses,attitudinal uses,comfort,安慰、舒適,,,,,,,,
